"Title","Author","ISBN","Link","Image","Curated"
"The Chaos Machine: The Inside Story of How Social Media Rewired Our Minds and Our World","Max Fisher","9780316703307","https://bookshop.org/search?keywords=9780316703307","https://images-us.bookshop.org/ingram/9780316703307.jpg?height=500&v=v2","false"
"Algospeak","Adam Aleksic","9780593804087","https://bookshop.org/search?keywords=9780593804087","https://images-us.bookshop.org/ingram/9780593804087.jpg?height=500&v=v2","false"
"Snow Crash","Neal Stephenson","9780553898194","https://bookshop.org/search?keywords=9780553898194","https://images-us.bookshop.org/ingram/9780553898194.jpg?height=500&v=v2","false"
"Who Knows You by Heart: A Novel","C. J. Farley","9780063418660","https://bookshop.org/search?keywords=9780063418660","https://images-us.bookshop.org/ingram/9780063418660.jpg?height=500&v=v2","false"
"Accelerando","Charles Stross","9781101208472","https://bookshop.org/search?keywords=9781101208472","https://images-us.bookshop.org/ingram/9781101208472.jpg?height=500&v=v2","false"
"The Internet Con: How to Seize the Means of Computation","Cory Doctorow","9781804292143","https://bookshop.org/p/books/the-internet-con-how-to-seize-the-means-of-computation-cory-doctorow/18771891?ean=9781804292143","https://images-us.bookshop.org/ingram/9781804292143.jpg?height=500&v=v2-51a8e25efb2e0954626ea1677d11059c","false"
"Uglies(Reissue)","Scott Westerfeld","9781442419810","https://bookshop.org/search?keywords=9781442419810","https://images-us.bookshop.org/ingram/9781442419810.jpg?height=500&v=v2","false"
"In a Different Voice: Psychological Theory and Women's Development","Carol Gilligan","9780674970960","https://bookshop.org/search?keywords=9780674970960","https://images-us.bookshop.org/ingram/9780674970960.jpg?height=500&v=v2","false"
"Doorbells, Danger, and Dead Batteries: User Research War Stories","Steve Portigal","9781933820347","https://bookshop.org/search?keywords=9781933820347","https://images-us.bookshop.org/ingram/9781933820347.jpg?height=500&v=v2","false"
"The Alignment Problem: Machine Learning and Human Values","Brian Christian","9780393635836","https://bookshop.org/search?keywords=9780393635836","https://images-us.bookshop.org/ingram/9780393635836.jpg?height=500&v=v2","false"
"Platform Socialism: How to Reclaim Our Digital Future from Big Tech","James Muldoon","9780745346953","https://bookshop.org/search?keywords=9780745346953","https://images-us.bookshop.org/ingram/9780745346953.jpg?height=500&v=v2","false"
"The Creative Act","Rick Rubin","9780593653425","https://bookshop.org/search?keywords=9780593653425","https://images-us.bookshop.org/ingram/9780593653425.jpg?height=500&v=v2","false"
"Ghost in the Wires: My Adventures as the World's Most Wanted Hacker","Kevin Mitnick and William L. Simon","9780316037723","https://bookshop.org/search?keywords=9780316037723","https://images-us.bookshop.org/ingram/9780316037723.jpg?height=500&v=v2","false"
"Trustworthy AI: A Business Guide for Navigating Trust and Ethics in AI","Beena Ammanath","9781119867920","https://bookshop.org/search?keywords=9781119867920","https://images-us.bookshop.org/ingram/9781119867920.jpg?height=500&v=v2","false"
"I Have No Mouth, and I Must Scream","Harlan Ellison","9781454969280","https://bookshop.org/search?keywords=9781454969280","https://images-us.bookshop.org/ingram/9781454969280.jpg?height=500&v=v2","false"
"A Gift of Fire: Social, Legal, and Ethical Issues for Computing Technology","Timothy Henry and Sara Baase","9780134615271","https://bookshop.org/p/books/a-gift-of-fire-social-legal-and-ethical-issues-for-computing-technology-timothy-henry/9446498?ean=9780134615271","https://images-us.bookshop.org/ingram/9780134615271.jpg?height=500&v=v2","false"
"Addiction by Design: Machine Gambling in Las Vegas","Natasha Dow Schüll","9780691160887","https://bookshop.org/p/books/addiction-by-design-machine-gambling-in-las-vegas-natasha-dow-schull/8970988?ean=9780691160887","https://images-us.bookshop.org/ingram/9780691160887.jpg?height=500&v=v2-3b6baf93e1753354aa729a78344df1b7","true"
"AI 2041: Ten Visions for Our Future","Kai-Fu Lee and Chen Qiufan","9780593238318","https://bookshop.org/p/books/ai-2041-ten-visions-for-our-future-kai-fu-lee/15911526?ean=9780593238318","https://images-us.bookshop.org/ingram/9780593238318.jpg?height=500&v=v2-9b50a89a985d2bbcd45af70c7e20551a","false"
"AI Snake Oil: What Artificial Intelligence Can Do, What It Can't, and How to Tell the Difference","Sayash Kapoor and Arvind Narayanan","9780691249148","https://bookshop.org/p/books/ai-snake-oil-what-artificial-intelligence-can-do-what-it-can-t-and-how-to-tell-the-difference-arvind-narayanan/21324674?ean=9780691249148","https://images-us.bookshop.org/ingram/9780691249148.jpg?height=500&v=v2-ef5d757aa9ceec699f9da5cb493fb9c1","true"
"Algorithms of Oppression: How Search Engines Reinforce Racism","Safiya Umoja Noble","9781479837243","https://bookshop.org/p/books/algorithms-of-oppression-how-search-engines-reinforce-racism-safiya-umoja-noble/966821?ean=9781479837243","https://images-us.bookshop.org/ingram/9781479837243.jpg?height=500&v=v2-3512467cb0fa5407dbfec0b29d68874f","true"
"Algorithms to Live by: The Computer Science of Human Decisions","Tom Griffiths and Brian Christian","9781250118363","https://bookshop.org/p/books/algorithms-to-live-by-the-computer-science-of-human-decisions-tom-griffiths/230238?ean=9781250118363","https://images-us.bookshop.org/ingram/9781250118363.jpg?height=500&v=v2-4ae616b6ea5d3fc72146bbffa0ea898a","false"
"All Systems Red","Martha Wells","9780765397539","https://bookshop.org/p/books/all-systems-red-martha-wells/7104100?ean=9780765397539","https://images-us.bookshop.org/ingram/9780765397539.jpg?height=500&v=v2-f65a450467e18ffba3d7ae555786acbf","true"
"Atlas of AI: Power, Politics, and the Planetary Costs of Artificial Intelligence","Kate Crawford","9780300264630","https://bookshop.org/p/books/atlas-of-ai-power-politics-and-the-planetary-costs-of-artificial-intelligence-kate-crawford/17465404?ean=9780300264630","https://images-us.bookshop.org/ingram/9780300264630.jpg?height=500&v=v2-b383bd51a9084bc667ae28bf97822552","true"
"Automation and the Future of Work","Aaron Benanav","9781839761324","https://bookshop.org/p/books/automation-and-the-future-of-work-aaron-benanav/14654313?ean=9781839761324","https://images-us.bookshop.org/ingram/9781839761324.jpg?height=500&v=v2","false"
"Code Dependent: Living in the Shadow of AI","Madhumita Murgia","9781250867391","https://bookshop.org/p/books/code-dependent-our-lives-with-algorithms-madhumita-murgia/19995380?ean=9781250867391","https://images-us.bookshop.org/ingram/9781250867391.jpg?height=500&v=v2-61b7cfec704afeb1e11573ec9fc369d5","false"
"Code Work: Hacking Across the Us/México Techno-Borderlands","Héctor Beltrán","9780691245041","https://bookshop.org/p/books/code-work-hacking-across-the-us-mexico-techno-borderlands-hector-beltran/19947891?ean=9780691245041","https://images-us.bookshop.org/ingram/9780691245041.jpg?height=500&v=v2-44f9f3d73fdb9bb43dbedf3dd1faea11","false"
"Command and Control: Nuclear Weapons, the Damascus Accident, and the Illusion of Safety","Eric Schlosser","9780143125785","https://bookshop.org/p/books/command-and-control-nuclear-weapons-the-damascus-accident-and-the-illusion-of-safety-eric-schlosser/6676064?ean=9780143125785","https://images-us.bookshop.org/ingram/9780143125785.jpg?height=500&v=v2-17d15bed5efbf187a07f2165d9c3e2ff","false"
"Countdown to Zero Day: Stuxnet and the Launch of the World's First Digital Weapon","Kim Zetter","9780770436193","https://bookshop.org/p/books/countdown-to-zero-day-stuxnet-and-the-launch-of-the-world-s-first-digital-weapon-kim-zetter/7650650?ean=9780770436193","https://images-us.bookshop.org/ingram/9780770436193.jpg?height=500&v=v2-908f1e101179113ddbfecff88ac4d8b2","true"
"Data and Goliath: The Hidden Battles to Collect Your Data and Control Your World","Bruce Schneier","9780393352177","https://bookshop.org/p/books/data-and-goliath-the-hidden-battles-to-collect-your-data-and-control-your-world-bruce-schneier/8771636?ean=9780393352177","https://images-us.bookshop.org/ingram/9780393352177.jpg?height=500&v=v2","true"
"Data Feminism","Catherine D'Ignazio and Lauren F. Klein","9780262547185","https://bookshop.org/p/books/data-feminism-lauren-f-klein/13050994?ean=9780262547185","https://images-us.bookshop.org/ingram/9780262547185.jpg?height=500&v=v2-beac2e16af66c276bd83fc8e247c4cbc","true"
"Data Versus Democracy: How Big Data Algorithms Shape Opinions and Alter the Course of History","Kris Shaffer","9781484245392","https://bookshop.org/p/books/data-versus-democracy-how-big-data-algorithms-shape-opinions-and-alter-the-course-of-history-kris-shaffer/8862690?ean=9781484245392","https://images-us.bookshop.org/ingram/9781484245392.jpg?height=500&v=v2","false"
"Digital Disconnect: How Capitalism Is Turning the Internet Against Democracy","Robert W. McChesney","9781620970317","https://bookshop.org/p/books/digital-disconnect-how-capitalism-is-turning-the-internet-against-democracy-robert-w-mcchesney/594496?ean=9781620970317","https://images-us.bookshop.org/ingram/9781620970317.jpg?height=500&v=v2","true"
"Ethical and Legal Aspects of Computing: A Professional Perspective from Software Engineering (2024)","Gerard O'Regan","9783031526633","https://bookshop.org/p/books/ethical-and-legal-aspects-of-computing-a-professional-perspective-from-software-engineering-2024-gerard-o-regan/20985526?ean=9783031526633","https://images-us.bookshop.org/ingram/9783031526633.jpg?height=500&v=v2-a3f5f385e970f93e71fefaecd15643c8","false"
"Extremely Online: The Untold Story of Fame, Influence, and Power on the Internet","Taylor Lorenz","9781982146870","https://bookshop.org/p/books/extremely-online-the-untold-story-of-fame-influence-and-power-on-the-internet-taylor-lorenz/19718842?ean=9781982146870","https://images-us.bookshop.org/ingram/9781982146870.jpg?height=500&v=v2-a160420cd941e665c1a751541612e4a3","false"
